target,MQ3,MQ135,TGS2600,TGS2602,TGS2603,TGS2609,TGS2610,SYG9,MQ137,MQ138,TGS2611,TGS2612,TGS2618,TGS2619,TGS2620,SY1B
1_0,771,33,398,430,671,405,157,534,227,267,204,68,173,307,391,160
1_1,1695,75,1037,1102,1369,1015,408,1971,477,603,462,130,440,714,988,504
1_2,1597,72,829,983,1266,795,298,1470,380,438,371,57,316,588,855,385
1_4,1763,102,1133,1215,1571,1073,365,1994,457,551,438,68,384,698,1163,519
1_3,1887,106,1261,1338,1459,1206,488,2430,581,689,618,153,547,924,1204,738
1_5,1757,95,1098,1178,1405,1089,432,2148,509,617,537,158,484,857,1096,569
1_6,1798,104,1044,1127,1399,1028,390,2068,462,541,457,85,402,732,1071,549
1_7,1610,89,1074,1139,1201,1027,406,1990,485,621,520,164,454,774,1022,559
1_8,1707,96,973,1044,1300,946,365,1871,433,507,429,93,369,686,997,496
1_9,1554,86,1002,1060,1101,977,394,1828,468,578,475,151,419,718,971,515
1_10,1585,91,923,989,1158,897,335,1673,409,485,393,85,374,678,971,440
1_11,1470,83,975,1038,1155,930,355,1793,444,537,484,131,399,682,935,472
1_12,1501,85,867,920,1093,848,328,1519,378,474,381,118,341,599,861,402
1_13,1475,81,951,1016,1067,915,353,1693,447,512,460,120,404,688,904,432
1_14,1435,84,896,954,1010,874,334,1526,419,507,408,140,370,642,858,415
1_15,1481,81,914,986,1103,899,346,1607,431,513,428,98,399,679,894,442
1_16,1386,77,858,895,967,816,321,1414,399,507,403,124,358,613,823,387
1_17,1487,81,916,973,1095,890,351,1621,429,493,427,121,397,666,904,447
1_18,1361,73,823,877,960,806,308,1317,375,496,376,116,341,591,798,367
1_19,1452,82,933,983,1024,898,352,1635,423,533,426,124,394,659,892,466
1_20,1342,74,837,893,939,807,316,1356,386,505,395,117,343,605,798,385
