type,MQ3,MQ135,TGS2600,TGS2602,TGS2603,TGS2609,TGS2610,SYG9,MQ137,MQ138,TGS2611,TGS2612,TGS2618,TGS2619,TGS2620,SY1B
1_20,968,51,582,618,511,566,204,703,281,414,251,102,229,398,543,228
1_20,968,51,582,618,511,566,205,703,281,414,251,102,229,398,538,228
1_20,966,51,582,618,511,566,205,699,282,414,251,102,229,398,538,225
1_20,966,54,582,618,511,566,205,699,282,417,251,102,229,398,538,225
1_20,966,54,577,618,511,566,205,699,282,417,251,102,229,398,538,225
1_20,966,54,577,617,511,566,205,699,282,417,251,105,230,398,538,225
1_20,966,54,577,617,511,560,205,699,282,417,251,105,230,395,538,225
1_20,966,54,577,617,511,560,204,699,282,417,251,105,230,395,536,225
1_20,1003,54,577,617,511,560,204,716,285,417,251,105,230,395,536,227
1_20,1003,60,577,617,511,560,204,716,285,419,251,105,230,395,536,227
1_20,1003,60,575,617,511,560,204,716,285,419,252,105,230,395,536,227
1_20,1003,60,575,612,523,560,204,716,285,419,252,102,235,395,536,227
1_20,1003,60,575,612,523,564,204,716,285,419,252,102,235,405,536,227
1_20,1003,60,575,612,523,564,209,716,285,419,252,102,235,405,537,227
1_20,1025,60,575,612,523,564,209,742,286,419,252,102,235,405,537,237
1_20,1025,61,575,612,523,564,209,742,286,421,252,102,235,405,537,237
1_20,1025,61,577,612,523,564,209,742,286,421,260,102,235,405,537,237
1_20,1025,61,577,620,544,564,209,742,286,421,260,105,240,405,537,237
1_20,1025,61,577,620,544,567,209,742,286,421,260,105,240,415,537,237
1_20,1025,61,577,620,544,567,218,742,286,421,260,105,240,415,546,237
1_20,1047,61,577,620,544,567,218,767,289,421,260,105,240,415,546,242
1_20,1047,65,577,620,544,567,218,767,289,427,260,105,240,415,546,242
1_20,1047,65,590,620,544,567,218,767,289,427,275,105,240,415,546,242
1_20,1047,65,590,624,581,567,218,767,289,427,275,102,250,415,546,242
1_20,1047,65,590,624,581,574,218,767,289,427,275,102,250,430,546,242
1_20,1047,65,590,624,581,574,229,767,289,427,275,102,250,430,555,242
1_20,1073,65,590,624,581,574,229,795,295,427,275,102,250,430,555,249
1_20,1073,64,590,624,581,574,229,795,295,427,275,102,250,430,555,249
1_20,1073,64,596,624,581,574,229,795,295,427,283,102,250,430,555,249
1_20,1073,64,596,634,616,574,229,795,295,427,283,102,258,430,555,249
1_20,1073,64,596,634,616,583,229,795,295,427,283,102,258,443,555,249
1_20,1073,64,596,634,616,583,236,795,295,427,283,102,258,443,565,249
1_20,1090,64,596,634,616,583,236,828,302,427,283,102,258,443,565,261
1_20,1090,67,596,634,616,583,236,828,302,433,283,102,258,443,565,261
1_20,1090,67,604,634,616,583,236,828,302,433,291,102,258,443,565,261
1_20,1090,67,604,648,653,583,236,828,302,433,291,104,265,443,565,261
1_20,1090,67,604,648,653,596,236,828,302,433,291,104,265,460,565,261
1_20,1090,67,604,648,653,596,249,828,302,433,291,104,265,460,582,261
1_20,1109,67,604,648,653,596,249,848,306,433,291,104,265,460,582,264
1_20,1109,68,604,648,653,596,249,848,306,437,291,104,265,460,582,264
1_20,1109,68,618,648,653,596,249,848,306,437,303,104,265,460,582,264
1_20,1109,68,618,661,692,596,249,848,306,437,303,106,274,460,582,264
1_20,1109,68,618,661,692,614,249,848,306,437,303,106,274,480,582,264
1_20,1109,68,618,661,692,614,252,848,306,437,303,106,274,480,591,264
1_20,1127,68,618,661,692,614,252,879,310,437,303,106,274,480,591,272
1_20,1127,69,618,661,692,614,252,879,310,439,303,106,274,480,591,272
1_20,1127,69,635,661,692,614,252,879,310,439,316,106,274,480,591,272
1_20,1127,69,635,677,730,614,252,879,310,439,316,106,283,480,591,272
1_20,1127,69,635,677,730,625,252,879,310,439,316,106,283,488,591,272
1_20,1127,69,635,677,730,625,262,879,310,439,316,106,283,488,608,272
1_20,1144,69,635,677,730,625,262,912,312,439,316,106,283,488,608,283
1_20,1144,70,635,677,730,625,262,912,312,442,316,106,283,488,608,283
1_20,1144,70,652,677,730,625,262,912,312,442,327,106,283,488,608,283
1_20,1144,70,652,691,764,625,262,912,312,442,327,106,291,488,608,283
1_20,1144,70,652,691,764,640,262,912,312,442,327,106,291,502,608,283
1_20,1144,70,652,691,764,640,267,912,312,442,327,106,291,502,621,283
1_20,1162,70,652,691,764,640,267,944,319,442,327,106,291,502,621,293
1_20,1162,68,652,691,764,640,267,944,319,442,327,106,291,502,621,293
1_20,1162,68,664,691,764,640,267,944,319,442,335,106,291,502,621,293
1_20,1162,68,664,703,798,640,267,944,319,442,335,103,303,502,621,293
1_20,1162,68,664,703,798,655,267,944,319,442,335,103,303,514,621,293
1_20,1162,68,664,703,798,655,275,944,319,442,335,103,303,514,637,293
1_20,1171,68,664,703,798,655,275,972,321,442,335,103,303,514,637,299
1_20,1171,72,664,703,798,655,275,972,321,449,335,103,303,514,637,299
1_20,1171,72,673,703,798,655,275,972,321,449,339,103,303,514,637,299
1_20,1171,72,673,718,818,655,275,972,321,449,339,105,305,514,637,299
1_20,1171,72,673,718,818,670,275,972,321,449,339,105,305,526,637,299
1_20,1171,72,673,718,818,670,279,972,321,449,339,105,305,526,649,299
1_20,1186,72,673,718,818,670,279,996,326,449,339,105,305,526,649,303
1_20,1186,72,673,718,818,670,279,996,326,452,339,105,305,526,649,303
1_20,1186,72,690,718,818,670,279,996,326,452,350,105,305,526,649,303
1_20,1186,72,690,731,836,670,279,996,326,452,350,105,308,526,649,303
1_20,1186,72,690,731,836,679,279,996,326,452,350,105,308,531,649,303
1_20,1186,72,690,731,836,679,279,996,326,452,350,105,308,531,657,303
1_20,1197,72,690,731,836,679,279,1019,327,452,350,105,308,531,657,308
1_20,1197,68,690,731,836,679,279,1019,327,450,350,105,308,531,657,308
1_20,1197,68,701,731,836,679,279,1019,327,450,355,105,308,531,657,308
1_20,1197,68,701,742,852,679,279,1019,327,450,355,104,313,531,657,308
1_20,1197,68,701,742,852,696,279,1019,327,450,355,104,313,545,657,308
1_20,1197,68,701,742,852,696,285,1019,327,450,355,104,313,545,671,308
1_20,1202,68,701,742,852,696,285,1041,328,450,355,104,313,545,671,314
1_20,1202,69,701,742,852,696,285,1041,328,451,355,104,313,545,671,314
1_20,1202,69,710,742,852,696,285,1041,328,451,358,104,313,545,671,314
1_20,1202,69,710,756,867,696,285,1041,328,451,358,104,317,545,671,314
1_20,1202,69,710,756,867,709,285,1041,328,451,358,104,317,554,671,314
1_20,1202,69,710,756,867,709,292,1041,328,451,358,104,317,554,687,314
