target,MQ3,MQ135,TGS2600,TGS2602,TGS2603,TGS2609,TGS2610,SYG9,MQ137,MQ138,TGS2611,TGS2612,TGS2618,TGS2619,TGS2620,SY1B
the_0,10,4,7,7,20,7,5,10,4,4,5,5,6,6,7,5
the_0,124,810,326,296,153,16,646,122,239,67,13,174,10,14,260,18
the_0,44,4,22,22,74,22,12,52,8,8,13,4,11,25,26,12
the_0,37,5,30,32,65,29,18,73,11,10,22,5,17,33,32,22
the_0,45,6,22,21,75,23,15,47,7,10,16,5,14,24,22,14
the_0,22,5,16,16,34,14,10,33,7,6,13,4,10,17,16,11
the_0,48,5,17,18,70,19,12,42,6,8,14,4,43,20,22,12
the_1,22,4,17,20,37,18,10,45,8,6,13,5,11,18,16,13
the_1,50,6,21,21,74,23,12,46,8,6,13,5,12,22,25,14
the_1,16,4,11,12,27,12,7,23,6,4,10,4,9,12,11,9
the_1,52,5,18,19,71,21,13,42,8,6,14,4,11,21,22,11
the_1,28,4,15,18,40,16,10,42,8,6,13,4,11,18,16,11
the_1,25,4,12,15,35,12,9,29,6,6,9,4,9,13,14,9
the_1,27,4,13,16,33,13,9,34,6,5,12,4,10,17,12,9
the_1,17,6,9,10,20,10,8,19,5,6,8,4,8,10,11,7
the_1,24,4,14,16,37,16,8,33,6,6,11,3,9,16,12,8
the_1,15,4,12,11,23,11,7,19,5,6,10,4,7,12,10,7
the_1,23,4,11,15,32,14,9,28,6,5,11,4,9,14,12,10
the_1,18,5,10,10,23,10,5,18,6,4,6,4,6,10,8,7
the_1,24,4,14,16,35,16,11,40,6,6,11,4,9,15,14,11
the_1,19,4,9,8,20,9,7,17,4,5,8,5,6,10,9,6
