	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16
MQ3	0.2902102978637063	0.05932512224908796	0.1224274093355059	0.48446968870891705	0.13317338495041578	-0.2796813443894866	-0.31529002569356285	0.5196033266656538	-0.3180051563557512	0.30446952433879787	-0.022907921213186345	-0.003925400063424857	0.022128687227818907	0.033249033565216975	-0.03518377257951345	-0.0021710787332803218
MQ135	0.28845431986351355	-0.15682118086904226	0.008835227050334767	-0.07400589344009863	0.03295409060442743	-0.0044972320041375274	0.05991754646324701	-0.03887601202124086	-0.13716904626812812	-0.10650781837584831	-0.16130836860066283	0.00696419720313223	0.06610811167848836	-0.13618023538883067	0.46399090306546653	0.7655113230341936
TGS2600	0.29494062368794227	-0.12077067090134466	-0.008469276510100907	-0.06799001815782602	0.02397987550029646	0.032210601353564045	0.046305754440221045	-0.12036726046142514	-0.12408351692298342	-0.1277881569517196	-0.04651852203857214	0.24361860590332546	0.5933112407299403	0.6439336701140808	-0.0884688910879676	-0.08802823378673932
TGS2602	0.29566635146978365	-0.11526674238849222	-0.012230568302036497	-0.08523526372700568	0.014231318572634733	0.06267560750910801	0.05601029807293603	0.008472199724492369	-0.09518439614047837	-0.18448593141888753	-0.24827842272220976	-0.578007086672339	-0.4850242690999442	0.39004476866194193	-0.24067773467490325	0.02004807030676664
TGS2603	0.278956731393764	0.1399758832786737	0.09895507643308012	0.5336599511625908	-0.020798434233558885	-0.1832220722433958	-0.10997788457399285	-0.3078882382116608	0.6187349089429078	-0.2833589735664301	-0.051769856592959046	-0.01757118182273152	0.0060482770838861406	-0.018781836024223064	0.022563146644549656	0.009957108084410304
TGS2609	0.09906974259375663	0.4553781334605012	-0.1423251386818765	0.29117008577479636	-0.27989747675175464	-0.05356790310951029	0.7109321184370941	-0.05980540362365931	-0.2926074136817242	0.021710110298431735	0.02392002510402696	0.01202945868447286	-0.020310361658538757	-0.017552067935099804	-0.001919615170985843	-0.005884126454028318
TGS2610	0.2903491888627935	-0.14730148957940312	0.005978730580342494	-0.07540824364284557	0.038520130347014465	-0.007863583535961921	0.059206086666130725	-0.023879683724637363	-0.08363948520084599	-0.05336930827851581	-0.09722840552157341	0.02866358844627566	-0.14347803036712437	-0.08088587112422052	0.6793775281995799	-0.6114369378953747
SYG9	0.28607912134595176	0.15025396005576525	-0.10174791861611374	-0.09570805597683005	-0.12233334823611332	0.5721260467518928	0.09963505465300407	0.5756308827724799	0.42721914116927384	0.03996923170330814	0.03643329647829212	0.06779674149675706	0.042353810844987384	-0.005002920798133456	0.01214245319405928	0.022232029209717896
MQ137	0.2908043965369236	-0.14465219868846582	-0.0036182588741410456	-0.08019889349824133	0.020238923330330037	0.02022553072302955	0.04400613479382417	-0.0003478860929209196	-0.14688818223395653	-0.23470286146882288	-0.10747147680720408	-0.2981770023030398	0.43279035916232694	-0.6125546583677192	-0.34220398984822836	-0.16897560056956745
MQ138	0.2962002335907708	-0.1074388238827132	0.013807382911853698	-0.08097927391927659	0.08517818500324345	0.0550412159505108	0.12380724759633574	-0.37104564331018214	0.18658130352471008	0.8208923153158483	-0.03465568056665154	-0.0961885987203971	0.025881073941408254	-0.05035835324138861	-0.09065496252953482	0.01148549675889049
TGS2611	0.11479568241728717	0.4371641207804076	-0.13207360753868091	-0.3748939459383317	0.6569852735933254	-0.37676432915971303	0.13805858257807682	0.11587962415603571	0.15991889809943158	-0.06594618634897409	0.036634077854172095	0.00385414486431657	0.006434804733881644	0.007077307339499336	-0.012213745100525891	0.011435524071012185
TGS2612	0.2886083262364332	-0.15598622782361693	0.005642983379810572	-0.0780196051253366	0.014549457547915385	-0.02375068922970275	0.036175953895748486	-0.05709552644554401	-0.08719994171671686	-0.10448215772113689	-0.17661023138159784	0.7068835412162215	-0.4208101927239593	-0.1619868307546188	-0.3580176963081907	-0.004093858840198472
TGS2618	0.04090417691062775	0.2746760025714933	0.9320674597452563	-0.19335679935324396	-0.056628552946513304	0.08733323324184358	0.045157126398162065	-0.02548146725713625	-0.052807877843875764	-0.019697806975066137	-0.00419356349719195	0.003477278866263319	-0.0006094507605134986	-0.0013279839747010538	-0.0004392969182063014	-0.0035073802944803334
TGS2619	0.06846581138231057	0.47269356983068533	-0.1633957594141023	0.1096743713124184	0.23369983793283733	0.5339780252039306	-0.41202182827405875	-0.344048867408402	-0.306851085828303	-0.031768689673498975	-0.0719654963079363	0.0208289765782979	-0.033643803049243595	-0.047633017170798736	0.03190122198439705	-0.008283042384303357
TGS2620	0.29786447482533035	-0.10086154983958831	0.003306958966279579	-0.034785939211352965	-0.0038070605713155224	0.017476501120983676	-0.04372190904629218	-0.09713628672035521	-0.10405151308855705	-0.10449508337749938	0.9180031317686623	-0.04567274565586457	-0.1363834674655379	-0.002895998190127619	-0.02468748064859244	0.049353027904541186
SY1B	0.20131910978143427	0.3403064732807147	-0.17645775689400559	-0.39148147113228454	-0.622762970225819	-0.33755496283852454	-0.386551664482944	-0.028820367885050824	0.017241164756487924	0.06203659477008239	-0.04904001545221883	-0.015149789049694823	0.014550214624127294	-0.002741688162119827	0.015260729825327293	0.002193987261963376
