component,explained_variance,explained_variance_ratio,cumulative_variance
1,11.333536422222451,0.674615263227527,0.674615263227527
2,4.27978994669725,0.25474940158912207,0.929364664816649
3,0.8036761668548114,0.04783786707469116,0.9772025318913402
4,0.2532573162131475,0.015074840250782592,0.9922773721421227
5,0.06615611825615339,0.003937864181913893,0.9962152363240366
6,0.027983505432065514,0.001665684847146757,0.9978809211711834
7,0.015498216634042144,0.0009225128948834611,0.9988034340660669
8,0.012315787199727517,0.0007330825714123524,0.9995365166374792
9,0.004367278825404332,0.0002599570729407341,0.9997964737104199
10,0.0026539124728904096,0.00015797098052919108,0.9999544446909491
11,0.00043281950907941776,2.5763066016632015e-05,0.9999802077569657
12,0.0001798915194400949,1.0707828538100888e-05,0.9999909155855038
13,7.203899377939642e-05,4.288035344011693e-06,0.9999952036208478
14,4.323624264950073e-05,2.5735858719940913e-06,0.9999977772067198
15,3.349069236967005e-05,1.9934935934327415e-06,0.9999997707003132
16,3.852234736736451e-06,2.292996867105031e-07,0.9999999999999999
