component	explained_variance_ratio	cumulative_variance
1	0.8096118758923937	0.8096118758923937
2	0.17468274707113662	0.9842946229635303
3	0.008928796921187952	0.9932234198847183
4	0.0029901492921860125	0.9962135691769043
5	0.001971537292639216	0.9981851064695435
6	0.0008034321326512738	0.9989885386021948
7	0.0005971307503543123	0.9995856693525491
8	0.00020545530547459669	0.9997911246580237
9	0.0001501986546986041	0.9999413233127222
10	3.5122396041772965e-05	0.999976445708764
11	1.7245648093272975e-05	0.9999936913568572
12	4.841262279958956e-06	0.9999985326191372
13	1.4673808626555882e-06	0.9999999999999999
14	1.5839061330200408e-33	0.9999999999999999
