target,MQ3,MQ135,TGS2600,TGS2602,TGS2603,TGS2609,TGS2610,SYG9,MQ137,MQ138,TGS2611,TGS2612,TGS2618,TGS2619,TGS2620,SY1B
1_0,805,38,401,443,677,408,164,539,236,273,208,74,182,326,400,171
1_1,1710,1696,1685,1692,1690,1023,1697,1994,484,607,515,477,482,783,1001,524
1_2,1712,88,929,1003,1328,901,338,1840,430,508,410,73,354,657,958,460
1_3,1906,112,1278,1355,1571,1225,496,2503,587,695,654,162,563,970,1253,743
1_4,1939,116,1138,1225,1578,1104,424,2294,512,583,523,102,442,819,1166,628
1_5,1768,103,1169,1244,1415,1121,462,2276,522,626,584,162,509,867,1139,641
1_6,1810,109,1057,1133,1430,1031,394,2078,467,550,468,110,409,743,1076,558
1_7,1650,96,1087,1160,1286,1046,427,2047,490,629,553,167,478,820,1043,584
1_8,1730,101,994,1068,1349,968,374,1894,437,513,447,117,389,710,1010,502
1_9,1571,89,1026,1089,1161,980,398,1843,474,583,503,157,449,760,976,537
1_10,1670,97,957,1030,1270,937,366,1822,419,491,427,121,375,681,975,478
1_11,1542,87,982,1043,1167,937,386,1812,453,539,489,140,431,735,946,513
1_12,1539,86,877,937,1152,857,338,1563,386,480,402,126,351,628,880,422
1_13,1504,83,962,1022,1094,921,367,1700,450,518,469,132,414,703,913,451
1_14,1454,86,910,967,1041,885,343,1533,428,515,423,148,378,652,872,419
1_15,1498,86,928,990,1115,903,360,1652,436,517,444,129,406,685,906,452
1_16,1395,86,864,915,973,835,325,1432,403,512,411,132,362,618,834,461
1_17,1493,86,923,981,1111,894,356,1646,436,540,435,128,404,672,911,458
1_18,1371,78,831,883,964,812,313,1353,382,506,386,121,350,607,799,377
1_19,1464,87,947,997,1100,913,362,1647,429,537,438,136,400,676,903,472
1_20,1352,81,844,898,957,823,322,1369,390,510,405,125,356,613,807,390
