	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16
MQ3	0.25852147359791133	-0.12847054754053094	0.46489268248623006	0.3996866832899582	-0.11357898539267641	-0.10537646019473473	0.0027495384945602735	0.3577078029864036	0.1144305758068655	-0.46191624394037467	-0.3009762222922659	0.06936951007198916	0.17183137076687685	0.18153420687824673	-0.05384344644842406	0.03976059769579356
MQ135	0.11291210165336807	0.5314120234192466	0.0899251400087251	-0.029797367864385152	0.1502805583119749	0.19326492360916506	0.08117063392859271	0.1342601435544193	0.15245636615371203	0.09661608017375703	-0.14034223794943268	-0.0417280430324581	-0.32754449532006513	0.3329975800486085	-0.09117228741864464	-0.5751762471467722
TGS2600	0.2624010411104694	0.22078757664356446	0.024379029346517582	0.14619763140923536	-0.06506956968031463	0.03841288692120699	0.14660936774480263	0.07239062684631908	0.11251036210978975	0.26195549205181917	0.13298051103412212	0.10000692714914074	0.5539066111019751	-0.528873704077699	-0.25243541316791285	-0.26225582372413786
TGS2602	0.26899748039327576	0.18398560050292248	0.0539632706532572	0.12605625755612743	-0.08289519923079297	0.03158464252743426	0.08727042901227508	0.12195294427647646	0.05935774130940874	0.19868156724875413	0.2059424637439312	0.1170767906948088	0.014830945803192344	0.03396195792877352	0.8541601737903156	0.12062186230049557
TGS2603	0.2601210027466015	0.06409523821506294	0.5128081858295002	-0.40678464181431934	0.19457185593418053	0.11911869530477451	-0.39756759166616873	-0.2839007049867032	-0.36533748434921537	0.05112912782452021	-0.1102597422541942	-0.05694602517468693	0.2280635759220253	0.0198568119231238	0.07165701956742329	-0.006933350365941199
TGS2609	0.2755105639010945	-0.13209077412280626	0.014016926181549608	0.273237773153925	-0.18051176286884946	-0.19076397561449815	0.11661346366313462	-0.16097468876693738	-0.24060023202566755	0.5271040084977971	0.12736114853838926	0.0013738888763916157	0.03653876463278059	0.5318534327558256	-0.2732587752980892	0.11171521709274307
TGS2610	0.15707397998621175	0.48361909440288064	0.03989605393504922	-0.059773371513248116	0.05556845233313449	0.1345439404702593	0.002054688408043107	0.059941935445018586	0.2341211290821015	0.06610769771480032	-0.08659347076142324	-0.06172374919434957	-0.13873503917411248	-0.06438742642048167	-0.2578618844603619	0.7423688562238957
SYG9	0.2728371122268733	-0.1367509785497871	0.19046365493601483	-0.12832669012878017	-0.12702678285288554	0.004520667986505494	-0.14251471873943364	-0.17828635808426962	0.3963936980752424	-0.2477762971786603	0.7004487613853658	0.028971907029511693	-0.21515684341894908	0.031007875165634635	-0.1517419557890251	-0.074791399836646
MQ137	0.27445532228918557	-0.12342407662829008	-0.1378469216617574	-0.057918302289705556	-0.0887483697296994	0.6451529069715428	0.48254141800848493	-0.036339187014096934	-0.37351005458785413	-0.28326322410198984	0.06112340313136775	-0.011581905165299035	-0.03008837887966613	0.010888218097928712	-0.04669935517536549	0.04468161991925529
MQ138	0.2688230635347356	-0.07676078281915177	-0.3416423755879854	0.46821051513458617	0.6531614085803612	0.12123739831287919	-0.35140886551888406	-0.0743889467467645	-0.03564415045660381	-0.0872714459936253	0.07350095068855496	-0.026543158326406944	-0.013884339733517714	-0.018344260089990197	-0.001394196950607024	0.006011204055621139
TGS2611	0.270710520735968	-0.11243067632044415	-0.29665790428809713	-0.31085093755803983	-0.13976020843768946	-0.0495070401680202	-0.26401143781808617	0.6226809511467523	-0.07971971957433063	0.05578773997919393	0.07185103699132321	-0.4741809438879058	0.07511289213695017	0.05801686097610556	-0.02986968138955961	-0.02541112051773417
TGS2612	0.14476017593376428	0.48710919194742863	-0.24570953768383363	0.03868883667674793	-0.18226502596315539	-0.48946137181608657	0.0011095208338778688	-0.18607298117898763	-0.40544984761167563	-0.44100499662504666	0.1064003463018007	-0.013313836791723726	-0.0003719968833306511	-0.02537659095627806	-0.0004889173819754592	-0.038264047494932604
TGS2618	0.27191370787079044	-0.05876309942332891	-0.3654277559375544	-0.11826527632972583	-0.27927865320416345	0.08008039504917844	-0.1067396787604552	-0.44179077460539207	0.4433007968048272	-0.08195203018244139	-0.4201224473037013	-0.06445209931799303	0.23648248403184985	0.1718871402767269	0.1070277066667359	-0.057367848954310185
TGS2619	0.2757494821593855	-0.12079654248016948	-0.1480282204373188	-0.1401027242094422	-0.1679050058630623	-0.02321648569209981	-0.24786068992420876	0.17055285722475538	-0.12201507217581498	0.10566997255044694	-0.20094088768719526	0.7151753696427005	-0.3550140606642068	-0.18733876376716663	-0.09320420685211256	-0.02916000066731178
TGS2620	0.2694509861328558	-0.1655378101009999	0.1753579176357964	0.17837789209192154	-0.09380362028450068	-0.1559285415833916	0.11867230544996916	-0.1918837209236069	-0.03196547601504339	0.13643433087754497	-0.23620187912437934	-0.4566224864866663	-0.4960983704374952	-0.4634575567727145	0.05310352329310532	-0.07583531305754293
SY1B	0.2685373138046838	-0.1669277639633525	-0.030732862570949503	-0.3947032489661975	0.5113767829655818	-0.41971290006986267	0.5092846936400435	0.041463177601670134	0.14223225979485676	-0.032231717942497504	-0.06944624974188396	0.10884331831303727	0.04955225956427098	0.05503305385541664	0.010707418687953628	0.03154649014265998
