component,explained_variance,explained_variance_ratio,cumulative_variance
1,13.011546813479654,0.7744968341356945,0.7744968341356945
2,3.1090120932848597,0.18506024364790852,0.959557077783603
3,0.5380171261750017,0.03202482893898823,0.9915819067225913
4,0.06797400679537019,0.004046071833057754,0.995627978555649
5,0.02786490168757505,0.0016586251004508975,0.9972866036560999
6,0.02010935766750018,0.0011969855754464405,0.9984835892315463
7,0.01172945946715582,0.0006981821111402281,0.9991817713426866
8,0.004264924084259605,0.0002538645288249768,0.9994356358715116
9,0.003852881643159304,0.0002293381930451969,0.9996649740645568
10,0.002634297458206547,0.00015680342013134224,0.9998217774846881
11,0.002121139049807922,0.0001262582767742812,0.9999480357614624
12,0.000590770069354301,3.516488508061319e-05,0.999983200646543
13,0.0001856040664016496,1.1047861095336297e-05,0.9999942485076383
14,5.842388577833822e-05,3.477612248710612e-06,0.999997726119887
15,2.717104866917181e-05,1.6173243255459426e-06,0.9999993434442126
16,1.1030137230733876e-05,6.565557875436838e-07,1.0000000000000002
