type,MQ3,MQ135,TGS2600,TGS2602,TGS2603,TGS2609,TGS2610,SYG9,MQ137,MQ138,TGS2611,TGS2612,TGS2618,TGS2619,TGS2620,SY1B
0,536,23,326,331,388,320,131,346,210,265,166,72,155,255,290,138
0,532,24,326,331,388,320,131,346,206,264,166,72,155,255,290,138
0,532,24,327,331,388,320,131,346,206,264,167,72,155,255,290,138
0,532,24,327,335,388,320,131,346,206,264,167,77,155,255,290,138
0,532,24,327,335,383,317,131,346,206,264,167,77,152,251,290,138
0,532,24,327,335,383,317,136,346,206,264,167,77,152,251,294,138
0,532,24,327,335,383,317,136,347,206,264,167,77,152,251,294,140
0,541,22,327,335,383,317,136,347,211,261,167,77,152,251,294,140
0,541,22,326,335,383,317,136,347,211,261,167,77,152,251,294,140
0,541,22,326,334,383,317,136,347,211,261,167,76,152,251,294,140
0,541,22,326,334,386,319,136,347,211,261,167,76,155,253,294,140
0,541,22,326,334,386,319,132,347,211,261,167,76,155,253,289,140
0,541,22,326,334,386,319,132,349,211,261,167,76,155,253,289,141
0,537,25,326,334,386,319,132,349,207,263,167,76,155,253,289,141
0,537,25,324,334,386,319,132,349,207,263,165,76,155,253,289,141
0,537,25,324,334,386,319,132,349,207,263,165,76,155,253,289,141
0,537,25,324,334,382,318,132,349,207,263,165,76,149,252,289,141
0,537,25,324,334,382,318,135,349,207,263,165,76,149,252,293,141
0,537,25,324,334,382,318,135,343,207,263,165,76,149,252,293,135
0,536,25,324,334,382,318,135,343,207,262,165,76,149,252,293,135
0,536,25,327,334,382,318,135,343,207,262,168,76,149,252,293,135
0,536,25,327,332,382,318,135,343,207,262,168,73,149,252,293,135
0,536,25,327,332,390,318,135,343,207,262,168,73,155,251,293,135
0,536,25,327,332,390,318,137,343,207,262,168,73,155,251,294,135
0,536,25,327,332,390,318,137,346,207,262,168,73,155,251,294,137
0,537,24,327,332,390,318,137,346,209,261,168,73,155,251,294,137
0,537,24,324,332,390,318,137,346,209,261,166,73,155,251,294,137
0,537,24,324,331,390,318,137,346,209,261,166,72,155,251,294,137
0,537,24,324,331,392,320,137,346,209,261,166,72,153,253,294,137
0,537,24,324,331,392,320,135,346,209,261,166,72,153,253,292,137
0,537,24,324,331,392,320,135,343,209,261,166,72,153,253,292,135
0,538,24,324,331,392,320,135,343,210,260,166,72,153,253,292,135
0,538,24,322,331,392,320,135,343,210,260,163,72,153,253,292,135
0,538,24,322,332,392,320,135,343,210,260,163,72,153,253,292,135
0,538,24,322,332,395,321,135,343,210,260,163,72,153,253,292,135
0,538,24,322,332,395,321,131,343,210,260,163,72,153,253,289,135
0,538,24,322,332,395,321,131,348,210,260,163,72,153,253,289,139
0,536,28,322,332,395,321,131,348,208,263,163,72,153,253,289,139
0,536,28,328,332,395,321,131,348,208,263,168,72,153,253,289,139
0,536,28,328,332,395,321,131,348,208,263,168,73,153,253,289,139
0,536,28,328,332,395,321,131,348,208,263,168,73,150,252,289,139
0,536,28,328,332,395,321,136,348,208,263,168,73,150,252,294,139
0,536,28,328,332,395,321,136,343,208,263,168,73,150,252,294,133
0,536,21,328,332,395,321,136,343,208,257,168,73,150,252,294,133
0,536,21,325,332,395,321,136,343,208,257,165,73,150,252,294,133
0,536,21,325,330,395,321,136,343,208,257,165,71,150,252,294,133
0,536,21,325,330,400,320,136,343,208,257,165,71,152,250,294,133
0,536,21,325,330,400,320,132,343,208,257,165,71,152,250,289,133
0,536,21,325,330,400,320,132,345,208,257,165,71,152,250,289,135
0,533,22,325,330,400,320,132,345,204,257,165,71,152,250,289,135
0,533,22,321,330,400,320,132,345,204,257,161,71,152,250,289,135
0,533,22,321,331,400,320,132,345,204,257,161,71,152,250,289,135
0,533,22,321,331,405,323,132,345,204,257,161,71,154,253,289,135
0,533,22,321,331,405,323,132,345,204,257,161,71,154,253,289,135
0,533,22,321,331,405,323,132,344,204,257,161,71,154,253,289,134
0,541,26,321,331,405,323,132,344,211,261,161,71,154,253,289,134
0,541,26,327,331,405,323,132,344,211,261,167,71,154,253,289,134
0,541,26,327,331,405,323,132,344,211,261,167,71,154,253,289,134
0,541,26,327,331,403,319,132,344,211,261,167,71,149,249,289,134
0,541,26,327,331,403,319,131,344,211,261,167,71,149,249,288,134
0,541,26,327,331,403,319,131,345,211,261,167,71,149,249,288,133
0,536,26,327,331,403,319,131,345,207,261,167,71,149,249,288,133
0,536,26,326,331,403,319,131,345,207,261,166,71,149,249,288,133
0,536,26,326,332,403,319,131,345,207,261,166,71,149,249,288,133
0,536,26,326,332,406,325,131,345,207,261,166,71,150,254,288,133
0,536,26,326,332,406,325,135,345,207,261,166,71,150,254,293,133
0,536,26,326,332,406,325,135,347,207,261,166,71,150,254,293,136
0,540,25,326,332,406,325,135,347,210,260,166,71,150,254,293,136
0,540,25,327,332,406,325,135,347,210,260,167,71,150,254,293,136
0,540,25,327,333,406,325,135,347,210,260,167,72,150,254,293,136
0,540,25,327,333,414,321,135,347,210,260,167,72,156,249,293,136
0,540,25,327,333,414,321,133,347,210,260,167,72,156,249,290,136
0,540,25,327,333,414,321,133,348,210,260,167,72,156,249,290,135
0,538,28,327,333,414,321,133,348,209,263,167,72,156,249,290,135
0,538,28,322,333,414,321,133,348,209,263,161,72,156,249,290,135
0,538,28,322,329,414,321,133,348,209,263,161,68,156,249,290,135
0,538,28,322,329,409,323,133,348,209,263,161,68,149,250,290,135
0,538,28,322,329,409,323,137,348,209,263,161,68,149,250,294,135
0,538,28,322,329,409,323,137,344,209,263,161,68,149,250,294,132
0,539,29,322,329,409,323,137,344,208,264,161,68,149,250,294,132
0,539,29,324,329,409,323,137,344,208,264,163,68,149,250,294,132
0,539,29,324,333,409,323,137,344,208,264,163,71,149,250,294,132
0,539,29,324,333,411,323,137,344,208,264,163,71,149,250,294,132
0,539,29,324,333,411,323,135,344,208,264,163,71,149,250,293,132
0,539,29,324,333,411,323,135,350,208,264,163,71,149,250,293,137
0,536,25,324,333,411,323,135,350,205,260,163,71,149,250,293,137
0,536,25,328,333,411,323,135,350,205,260,167,71,149,250,293,137
0,536,25,328,334,411,323,135,350,205,260,167,72,149,250,293,137
0,536,25,328,334,414,320,135,350,205,260,167,72,151,247,293,137
0,536,25,328,334,414,320,133,350,205,260,167,72,151,247,291,137
0,536,25,328,334,414,320,133,347,205,260,167,72,151,247,291,133
0,542,24,328,334,414,320,133,347,212,260,167,72,151,247,291,133
0,542,24,325,334,414,320,133,347,212,260,164,72,151,247,291,133
0,542,24,325,332,414,320,133,347,212,260,164,69,151,247,291,133
0,542,24,325,332,415,321,133,347,212,260,164,69,150,247,291,133
0,542,24,325,332,415,321,137,347,212,260,164,69,150,247,296,133
0,542,24,325,332,415,321,137,350,212,260,164,69,150,247,296,135
0,542,26,325,332,415,321,137,350,210,262,164,69,150,247,296,135
0,542,26,324,332,415,321,137,350,210,262,162,69,150,247,296,135
0,542,26,324,336,415,321,137,350,210,262,162,72,150,247,296,135
0,542,26,324,336,419,325,137,350,210,262,162,72,153,250,296,135
0,542,26,324,336,419,325,134,350,210,262,162,72,153,250,292,135
0,542,26,324,336,419,325,134,352,210,262,162,72,153,250,292,136
0,537,27,324,336,419,325,134,352,205,262,162,72,153,250,292,136
0,537,27,323,336,419,325,134,352,205,262,162,72,153,250,292,136
0,537,27,323,328,419,325,134,352,205,262,162,65,153,250,292,136
0,537,27,323,328,417,327,134,352,205,262,162,65,150,251,292,136
0,537,27,323,328,417,327,136,352,205,262,162,65,150,251,295,136
0,537,27,323,328,417,327,136,347,205,262,162,65,150,251,295,131
0,541,21,323,328,417,327,136,347,209,258,162,65,150,251,295,131
0,541,21,323,328,417,327,136,347,209,258,162,65,150,251,295,131
0,541,21,323,337,417,327,136,347,209,258,162,72,150,251,295,131
0,541,21,323,337,422,323,136,347,209,258,162,72,154,247,295,131
