type,MQ3,MQ135,TGS2600,TGS2602,TGS2603,TGS2609,TGS2610,SYG9,MQ137,MQ138,TGS2611,TGS2612,TGS2618,TGS2619,TGS2620,SY1B
0数据,486,32,352,359,384,353,118,306,180,207,150,48,130,231,327,112
0数据,486,32,350,359,384,353,118,306,180,207,149,48,130,231,327,112
0数据,486,32,350,360,384,353,118,306,180,207,149,52,130,231,327,112
0数据,486,32,350,360,384,347,118,306,180,207,149,52,133,225,327,112
0数据,486,32,350,360,384,347,116,306,180,207,149,52,133,225,323,112
0数据,486,32,350,360,384,347,116,300,180,207,149,52,133,225,323,108
0数据,480,27,350,360,384,347,116,300,179,200,149,52,133,225,323,108
0数据,480,27,344,360,384,347,116,300,179,200,144,52,133,225,323,108
0数据,480,27,344,357,384,347,116,300,179,200,144,49,133,225,323,108
0数据,480,27,344,357,379,350,116,300,179,200,144,49,126,229,323,108
0数据,480,27,344,357,379,350,118,300,179,200,144,49,126,229,326,108
0数据,480,27,344,357,379,350,118,300,179,200,144,49,126,229,326,108
0数据,482,32,344,357,379,350,118,300,180,203,144,49,126,229,326,108
0数据,482,32,342,357,379,350,118,300,180,203,143,49,126,229,326,108
0数据,482,32,342,357,379,350,118,300,180,203,143,51,126,229,326,108
0数据,482,32,342,357,379,350,118,300,180,203,143,51,126,229,326,108
0数据,482,32,342,357,379,350,113,300,180,203,143,51,126,229,319,108
0数据,482,32,342,357,379,350,113,303,180,203,143,51,126,229,319,110
0数据,481,27,342,357,379,350,113,303,177,196,143,51,126,229,319,110
0数据,481,27,345,357,379,350,113,303,177,196,146,51,126,229,319,110
0数据,481,27,345,355,379,350,113,303,177,196,146,49,126,229,319,110
0数据,481,27,345,355,383,345,113,303,177,196,146,49,130,224,319,110
0数据,481,27,345,355,383,345,124,303,177,196,146,49,130,224,330,110
0数据,481,27,345,355,383,345,124,302,177,196,146,49,130,224,330,107
0数据,488,29,345,355,383,345,124,302,183,198,146,49,130,224,330,107
0数据,488,29,346,355,383,345,124,302,183,198,147,49,130,224,330,107
0数据,488,29,346,357,383,345,124,302,183,198,147,51,130,224,330,107
0数据,488,29,346,357,387,350,124,302,183,198,147,51,132,229,330,107
0数据,488,29,346,357,387,350,120,302,183,198,147,51,132,229,326,107
0数据,488,29,346,357,387,350,120,303,183,198,147,51,132,229,326,107
0数据,489,30,346,357,387,350,120,303,183,197,147,51,132,229,326,107
0数据,489,30,344,357,387,350,120,303,183,197,145,51,132,229,326,107
0数据,489,30,344,354,387,350,120,303,183,197,145,48,132,229,326,107
