target,MQ3,MQ135,TGS2600,TGS2602,TGS2603,TGS2609,TGS2610,SYG9,MQ137,MQ138,TGS2611,TGS2612,TGS2618,TGS2619,TGS2620,SY1B
0,1427,66,276,273,951,677,273,278,346,356,352,65,294,432,771,338
10,1325,69,758,800,975,738,265,1230,325,400,330,85,289,518,742,300
12,1356,70,758,800,989,725,264,1240,320,404,332,82,287,522,731,299
14,1376,72,782,825,1010,734,270,1267,328,413,340,79,294,543,751,306
16,1329,70,767,800,975,709,269,1191,319,397,337,82,289,527,725,296
18,1368,72,775,811,1068,719,273,1184,324,404,338,79,289,532,732,302
20,1326,68,759,802,942,708,266,1309,321,392,334,86,291,527,730,298
2,1764,97,1061,1090,1311,1002,382,1761,455,569,444,69,400,710,1043,518
4,1645,91,973,984,1277,896,338,1576,402,504,437,88,364,647,924,451
6,1448,75,845,886,1089,795,289,1358,361,447,365,96,317,584,803,350
8,1421,75,816,865,1026,769,282,1266,349,435,355,99,308,560,772,332
