type,MQ3,MQ135,TGS2600,TGS2602,TGS2603,TGS2609,TGS2610,SYG9,MQ137,MQ138,TGS2611,TGS2612,TGS2618,TGS2619,TGS2620,SY1B
基线,490,28,357,367,396,359,482,323,188,209,151,60,131,236,182,118
基线,490,28,357,367,395,359,482,323,188,209,151,60,131,236,182,118
基线,490,28,357,367,395,360,122,323,188,209,151,60,131,237,335,118
基线,490,28,357,367,395,360,122,316,188,209,151,60,131,237,335,112
基线,483,28,357,367,395,360,122,316,184,209,151,60,131,237,335,112
基线,483,27,357,367,395,360,122,316,184,206,154,60,131,237,335,112
基线,483,27,357,364,395,360,122,316,184,206,154,59,131,237,335,112
基线,483,27,357,364,396,360,122,316,184,206,154,59,132,237,335,112
基线,483,27,357,364,396,360,116,316,184,206,154,59,132,237,328,112
基线,483,27,357,364,396,360,116,319,184,206,154,59,132,237,328,116
基线,487,27,357,364,396,360,116,319,185,206,154,59,132,237,328,116
基线,487,32,356,364,396,360,116,319,185,211,153,59,132,237,328,116
基线,487,32,356,362,396,360,116,319,185,211,153,59,132,237,328,116
基线,487,32,356,362,398,360,116,319,185,211,153,59,134,237,328,116
基线,487,32,356,362,398,358,118,319,185,211,153,59,134,235,330,116
基线,487,32,356,362,398,358,118,322,185,211,153,59,134,235,330,118
基线,486,32,356,362,398,358,118,322,183,211,153,59,134,235,330,118
基线,486,25,354,362,398,358,118,322,183,204,150,59,134,235,330,118
基线,486,25,354,363,398,358,118,322,183,204,150,59,134,235,330,118
基线,486,25,354,363,396,358,118,322,183,204,150,59,132,235,330,118
基线,486,25,354,363,396,351,122,322,183,204,150,59,132,229,333,118
基线,486,25,354,363,396,351,122,319,183,204,150,59,132,229,333,117
基线,486,25,354,363,396,351,122,319,183,204,150,59,132,229,333,117
基线,486,30,353,363,396,351,122,319,183,208,150,59,132,229,333,117
基线,486,30,353,359,396,351,122,319,183,208,150,56,132,229,333,117
基线,486,30,353,359,398,351,122,319,183,208,150,56,133,229,333,117
基线,486,30,353,359,398,353,119,319,183,208,150,56,133,231,329,117
基线,486,30,353,359,398,353,119,314,183,208,150,56,133,231,329,112
基线,486,30,353,359,398,353,119,314,181,208,150,56,133,231,329,112
基线,486,28,347,359,398,353,119,314,181,206,145,56,133,231,329,112
基线,486,28,347,360,398,353,119,314,181,206,145,58,133,231,329,112
基线,486,28,347,360,397,353,119,314,181,206,145,58,132,231,329,112
基线,486,28,347,360,397,357,118,314,181,206,145,58,132,234,328,112
基线,486,28,347,360,397,357,118,321,181,206,145,58,132,234,328,117
基线,488,28,347,360,397,357,118,321,183,206,145,58,132,234,328,117
基线,488,26,350,360,397,357,118,321,183,203,148,58,132,234,328,117
基线,488,26,350,359,397,357,118,321,183,203,148,56,132,234,328,117
