type,MQ3,MQ135,TGS2600,TGS2602,TGS2603,TGS2609,TGS2610,SYG9,MQ137,MQ138,TGS2611,TGS2612,TGS2618,TGS2619,TGS2620,SY1B
13,570,29,342,360,332,324,118,354,188,234,145,90,131,225,321,117
13,570,29,342,360,332,324,118,347,188,234,145,90,131,225,321,114
13,575,29,342,360,332,324,118,347,189,232,145,90,131,225,321,114
13,575,29,339,360,332,324,118,347,189,232,145,90,131,225,321,114
13,575,29,339,353,332,324,118,347,189,232,145,85,131,225,321,114
13,575,29,339,353,328,321,118,347,189,232,145,85,129,224,321,114
13,575,29,339,353,328,321,120,347,189,232,145,85,129,224,321,114
13,575,29,339,353,328,321,120,358,189,232,145,85,129,224,321,120
13,625,37,339,353,328,321,120,358,192,235,145,85,129,224,321,120
13,625,37,339,353,328,321,120,358,192,235,147,85,129,224,321,120
13,625,37,339,353,328,321,120,358,192,235,147,86,129,224,321,120
13,625,37,339,353,336,323,120,358,192,235,147,86,131,230,321,120
13,625,37,339,353,336,323,119,358,192,235,147,86,131,230,319,120
13,625,37,339,353,336,323,119,379,192,235,147,86,131,230,319,126
13,683,39,339,353,336,323,119,379,194,236,147,86,131,230,319,126
13,683,39,338,353,336,323,119,379,194,236,149,86,131,230,319,126
13,683,39,338,357,336,323,119,379,194,236,149,87,131,230,319,126
13,683,39,338,357,357,326,119,379,194,236,149,87,135,240,319,126
13,683,39,338,357,357,326,133,379,194,236,149,87,135,240,331,126
13,683,39,338,357,357,326,133,408,194,236,149,87,135,240,331,134
13,734,46,338,357,357,326,133,408,197,244,149,87,135,240,331,134
13,734,46,348,357,357,326,133,408,197,244,160,87,135,240,331,134
13,734,46,348,367,357,326,133,408,197,244,160,90,135,240,331,134
13,734,46,348,367,402,334,133,408,197,244,160,90,148,258,331,134
13,734,46,348,367,402,334,142,408,197,244,160,90,148,258,339,134
13,734,46,348,367,402,334,142,444,197,244,160,90,148,258,339,143
13,783,46,348,367,402,334,142,444,201,246,160,90,148,258,339,143
13,783,46,357,367,402,334,142,444,201,246,172,90,148,258,339,143
13,783,46,357,377,402,334,142,444,201,246,172,89,148,258,339,143
13,783,46,357,377,461,342,142,444,201,246,172,89,161,278,339,143
13,783,46,357,377,461,342,160,444,201,246,172,89,161,278,358,143
13,783,46,357,377,461,342,160,491,201,246,172,89,161,278,358,154
13,836,47,357,377,461,342,160,491,205,251,172,89,161,278,358,154
13,836,47,381,377,461,342,160,491,205,251,197,89,161,278,358,154
13,836,47,381,396,461,342,160,491,205,251,197,90,161,278,358,154
13,836,47,381,396,538,366,160,491,205,251,197,90,177,315,358,154
13,836,47,381,396,538,366,177,491,205,251,197,90,177,315,379,154
13,836,47,381,396,538,366,177,552,205,251,197,90,177,315,379,169
13,894,50,381,396,538,366,177,552,211,258,197,90,177,315,379,169
13,894,50,402,396,538,366,177,552,211,258,215,90,177,315,379,169
13,894,50,402,419,538,366,177,552,211,258,215,90,177,315,379,169
13,894,50,402,419,632,397,177,552,211,258,215,90,201,356,379,169
13,894,50,402,419,632,397,200,552,211,258,215,90,201,356,414,169
13,894,50,402,419,632,397,200,625,211,258,215,90,201,356,414,186
13,955,55,402,419,632,397,200,625,222,269,215,90,201,356,414,186
13,955,55,436,419,632,397,200,625,222,269,241,90,201,356,414,186
13,955,55,436,443,632,397,200,625,222,269,241,85,201,356,414,186
13,955,55,436,443,718,432,200,625,222,269,241,85,217,396,414,186
13,955,55,436,443,718,432,215,625,222,269,241,85,217,396,449,186
13,955,55,436,443,718,432,215,703,222,269,241,85,217,396,449,203
13,1007,55,436,443,718,432,215,703,224,274,241,85,217,396,449,203
13,1007,55,475,443,718,432,215,703,224,274,265,85,217,396,449,203
13,1007,55,475,482,718,432,215,703,224,274,265,88,217,396,449,203
13,1007,55,475,482,804,466,215,703,224,274,265,88,240,428,449,203
13,1007,55,475,482,804,466,235,703,224,274,265,88,240,428,493,203
13,1007,55,475,482,804,466,235,780,224,274,265,88,240,428,493,219
13,1062,59,475,482,804,466,235,780,231,282,265,88,240,428,493,219
13,1062,59,514,482,804,466,235,780,231,282,286,88,240,428,493,219
13,1062,59,514,522,804,466,235,780,231,282,286,88,240,428,493,219
13,1062,59,514,522,868,508,235,780,231,282,286,88,249,462,493,219
13,1062,59,514,522,868,508,247,780,231,282,286,88,249,462,534,219
13,1062,59,514,522,868,508,247,861,231,282,286,88,249,462,534,237
13,1111,58,514,522,868,508,247,861,242,287,286,88,249,462,534,237
13,1111,58,552,522,868,508,247,861,242,287,305,88,249,462,534,237
13,1111,58,552,564,868,508,247,861,242,287,305,89,249,462,534,237
13,1111,58,552,564,931,542,247,861,242,287,305,89,269,488,534,237
13,1111,58,552,564,931,542,257,861,242,287,305,89,269,488,572,237
13,1111,58,552,564,931,542,257,928,242,287,305,89,269,488,572,246
13,1154,64,552,564,931,542,257,928,245,297,305,89,269,488,572,246
13,1154,64,587,564,931,542,257,928,245,297,320,89,269,488,572,246
13,1154,64,587,601,931,542,257,928,245,297,320,87,269,488,572,246
13,1154,64,587,601,970,577,257,928,245,297,320,87,277,514,572,246
13,1154,64,587,601,970,577,267,928,245,297,320,87,277,514,607,246
13,1154,64,587,601,970,577,267,1003,245,297,320,87,277,514,607,268
13,1196,65,587,601,970,577,267,1003,253,304,320,87,277,514,607,268
13,1196,65,618,601,970,577,267,1003,253,304,330,87,277,514,607,268
13,1196,65,618,641,970,577,267,1003,253,304,330,91,277,514,607,268
13,1196,65,618,641,1011,604,267,1003,253,304,330,91,290,531,607,268
13,1196,65,618,641,1011,604,272,1003,253,304,330,91,290,531,633,268
13,1196,65,618,641,1011,604,272,1058,253,304,330,91,290,531,633,276
13,1232,68,618,641,1011,604,272,1058,263,311,330,91,290,531,633,276
13,1232,68,648,641,1011,604,272,1058,263,311,343,91,290,531,633,276
13,1232,68,648,668,1011,604,272,1058,263,311,343,85,290,531,633,276
13,1232,68,648,668,1040,629,272,1058,263,311,343,85,299,545,633,276
13,1232,68,648,668,1040,629,281,1058,263,311,343,85,299,545,661,276
13,1232,68,648,668,1040,629,281,1114,263,311,343,85,299,545,661,287
13,1262,68,648,668,1040,629,281,1114,267,315,343,85,299,545,661,287
13,1262,68,671,668,1040,629,281,1114,267,315,350,85,299,545,661,287
13,1262,68,671,704,1040,629,281,1114,267,315,350,91,299,545,661,287
13,1262,68,671,704,1063,648,281,1114,267,315,350,91,306,556,661,287
13,1262,68,671,704,1063,648,287,1114,267,315,350,91,306,556,684,287
13,1262,68,671,704,1063,648,287,1158,267,315,350,91,306,556,684,293
13,1283,68,671,704,1063,648,287,1158,267,320,350,91,306,556,684,293
13,1283,68,692,704,1063,648,287,1158,267,320,356,91,306,556,684,293
13,1283,68,692,729,1063,648,287,1158,267,320,356,91,306,556,684,293
13,1283,68,692,729,1075,668,287,1158,267,320,356,91,306,568,684,293
13,1283,68,692,729,1075,668,288,1158,267,320,356,91,306,568,698,293
13,1283,68,692,729,1075,668,288,1194,267,320,356,91,306,568,698,303
13,1308,68,692,729,1075,668,288,1194,276,323,356,91,306,568,698,303
13,1308,68,711,729,1075,668,288,1194,276,323,362,91,306,568,698,303
13,1308,68,711,747,1075,668,288,1194,276,323,362,86,306,568,698,303
13,1308,68,711,747,1096,686,288,1194,276,323,362,86,316,578,698,303
13,1308,68,711,747,1096,686,296,1194,276,323,362,86,316,578,719,303
13,1308,68,711,747,1096,686,296,1226,276,323,362,86,316,578,719,308
13,1328,71,711,747,1096,686,296,1226,283,331,362,86,316,578,719,308
13,1328,71,728,747,1096,686,296,1226,283,331,366,86,316,578,719,308
13,1328,71,728,767,1096,686,296,1226,283,331,366,86,316,578,719,308
13,1328,71,728,767,1101,697,296,1226,283,331,366,86,315,582,719,308
13,1328,71,728,767,1101,697,296,1226,283,331,366,86,315,582,728,308
13,1328,71,728,767,1101,697,296,1249,283,331,366,86,315,582,728,307
13,1337,68,728,767,1101,697,296,1249,285,331,366,86,315,582,728,307
13,1337,68,742,767,1101,697,296,1249,285,331,369,86,315,582,728,307
13,1337,68,742,785,1101,697,296,1249,285,331,369,91,315,582,728,307
13,1337,68,742,785,1106,707,296,1249,285,331,369,91,319,585,728,307
13,1337,68,742,785,1106,707,300,1249,285,331,369,91,319,585,740,307
13,1337,68,742,785,1106,707,300,1277,285,331,369,91,319,585,740,318
13,1343,70,742,785,1106,707,300,1277,286,337,369,91,319,585,740,318
13,1343,70,760,785,1106,707,300,1277,286,337,377,91,319,585,740,318
13,1343,70,760,799,1106,707,300,1277,286,337,377,90,319,585,740,318
13,1343,70,760,799,1109,716,300,1277,286,337,377,90,318,589,740,318
13,1343,70,760,799,1109,716,297,1277,286,337,377,90,318,589,744,318
13,1343,70,760,799,1109,716,297,1291,286,337,377,90,318,589,744,319
13,1358,73,760,799,1109,716,297,1291,294,343,377,90,318,589,744,319
13,1358,73,767,799,1109,716,297,1291,294,343,377,90,318,589,744,319
13,1358,73,767,806,1109,716,297,1291,294,343,377,88,318,589,744,319
