target,MQ3,MQ135,TGS2600,TGS2602,TGS2603,TGS2609,TGS2610,SYG9,MQ137,MQ138,TGS2611,TGS2612,TGS2618,TGS2619,TGS2620,SY1B
0,475,28,279,297,440,283,109,321,180,208,142,45,126,216,264,94
10,1412,70,810,860,984,743,284,1323,348,417,354,101,318,545,776,337
12,1449,72,832,874,1035,760,292,1392,341,408,366,85,323,563,792,350
14,1393,68,802,844,980,727,283,1303,326,401,355,101,309,543,756,332
16,1377,68,797,838,970,726,281,1289,330,398,353,99,308,538,756,329
18,1363,66,794,831,951,724,280,1261,330,396,348,87,306,534,749,333
20,1324,68,764,802,914,702,270,1200,320,385,342,88,296,520,714,311
2,1809,103,1114,1164,1504,991,372,2223,457,540,475,59,427,731,1048,524
4,1656,87,984,1038,1333,885,335,1835,408,481,424,79,367,654,926,445
6,1576,84,943,995,1140,849,331,1614,387,476,409,86,354,634,881,417
8,1498,75,885,929,1073,794,307,1506,366,437,387,91,337,594,831,384
