target,MQ3,MQ135,TGS2600,TGS2602,TGS2603,TGS2609,TGS2610,SYG9,MQ137,MQ138,TGS2611,TGS2612,TGS2618,TGS2619,TGS2620,SY1B
11,979,43,534,556,762,531,198,848,241,307,222,79,211,346,508,180
13,1596,93,985,1027,1109,879,343,1634,395,463,429,79,371,658,925,442
15,1492,83,924,968,1052,834,323,1558,373,440,403,109,354,626,873,410
17,1450,82,887,928,1012,802,314,1429,359,426,388,97,343,601,836,391
19,1444,81,883,917,1018,791,310,1444,357,429,386,107,341,593,823,383
1,1874,107,1154,1214,1500,1043,399,2272,440,503,454,52,432,797,1108,584
3,1631,95,1034,1119,1256,957,359,1855,422,507,459,104,397,703,980,487
5,1593,93,989,1046,1145,888,350,1692,397,455,431,99,377,670,932,455
7,1501,81,885,930,1139,801,313,1520,351,418,390,99,319,621,845,395
9,1316,64,898,791,1002,696,272,1177,298,334,346,109,302,524,717,310
