type,MQ3,MQ135,TGS2600,TGS2602,TGS2603,TGS2609,TGS2610,SYG9,MQ137,MQ138,TGS2611,TGS2612,TGS2618,TGS2619,TGS2620,SY1B
20,599,32,347,356,334,315,114,399,203,234,142,97,124,210,328,117
20,599,32,347,356,334,315,114,399,203,234,142,97,124,210,326,117
20,599,32,347,356,334,315,114,391,203,234,142,97,124,210,326,113
20,592,37,347,356,334,315,114,391,196,236,142,97,124,210,326,113
20,592,37,343,356,334,315,114,391,196,236,140,97,124,210,326,113
20,592,37,343,356,334,315,114,391,196,236,140,100,124,210,326,113
20,592,37,343,356,334,310,114,391,196,236,140,100,125,207,326,113
20,592,37,343,356,334,310,114,391,196,236,140,100,125,207,325,113
20,592,37,343,356,334,310,114,410,196,236,140,100,125,207,325,120
20,649,42,343,356,334,310,114,410,200,233,140,100,125,207,325,120
20,649,42,345,356,334,310,114,410,200,233,145,100,125,207,325,120
20,649,42,345,358,334,310,114,410,200,233,145,101,125,207,325,120
20,649,42,345,358,352,315,114,410,200,233,145,101,128,217,325,120
20,649,42,345,358,352,315,121,410,200,233,145,101,128,217,330,120
20,649,42,345,358,352,315,121,449,200,233,145,101,128,217,330,132
20,718,50,345,358,352,315,121,449,202,238,145,101,128,217,330,132
20,718,50,348,358,352,315,121,449,202,238,153,101,128,217,330,132
20,718,50,348,362,352,315,121,449,202,238,153,99,128,217,330,132
20,718,50,348,362,399,321,121,449,202,238,153,99,144,231,330,132
20,718,50,348,362,399,321,136,449,202,238,153,99,144,231,345,132
20,718,50,348,362,399,321,136,486,202,238,153,99,144,231,345,138
20,778,51,348,362,399,321,136,486,205,236,153,99,144,231,345,138
20,778,51,356,362,399,321,136,486,205,236,164,99,144,231,345,138
20,778,51,356,370,399,321,136,486,205,236,164,97,144,231,345,138
20,778,51,356,370,455,336,136,486,205,236,164,97,153,252,345,138
20,778,51,356,370,455,336,149,486,205,236,164,97,153,252,361,138
20,778,51,356,370,455,336,149,532,205,236,164,97,153,252,361,148
20,829,52,356,370,455,336,149,532,209,237,164,97,153,252,361,148
20,829,52,371,370,455,336,149,532,209,237,180,97,153,252,361,148
20,829,52,371,383,455,336,149,532,209,237,180,94,153,252,361,148
20,829,52,371,383,531,361,149,532,209,237,180,94,175,282,361,148
20,829,52,371,383,531,361,166,532,209,237,180,94,175,282,384,148
20,829,52,371,383,531,361,166,580,209,237,180,94,175,282,384,159
20,885,59,371,383,531,361,166,580,215,243,180,94,175,282,384,159
20,885,59,393,383,531,361,166,580,215,243,201,94,175,282,384,159
20,885,59,393,403,531,361,166,580,215,243,201,93,175,282,384,159
20,885,59,393,403,605,382,166,580,215,243,201,93,191,305,384,159
20,885,59,393,403,605,382,176,580,215,243,201,93,191,305,403,159
20,885,59,393,403,605,382,176,630,215,243,201,93,191,305,403,167
20,935,56,393,403,605,382,176,630,218,241,201,93,191,305,403,167
20,935,56,417,403,605,382,176,630,218,241,220,93,191,305,403,167
20,935,56,417,428,605,382,176,630,218,241,220,94,191,305,403,167
20,935,56,417,428,672,415,176,630,218,241,220,94,203,336,403,167
20,935,56,417,428,672,415,191,630,218,241,220,94,203,336,432,167
20,935,56,417,428,672,415,191,687,218,241,220,94,203,336,432,180
20,983,61,417,428,672,415,191,687,223,247,220,94,203,336,432,180
20,983,61,443,428,672,415,191,687,223,247,236,94,203,336,432,180
20,983,61,443,460,672,415,191,687,223,247,236,97,203,336,432,180
20,983,61,443,460,743,447,191,687,223,247,236,97,222,363,432,180
20,983,61,443,460,743,447,208,687,223,247,236,97,222,363,467,180
20,983,61,443,460,743,447,208,746,223,247,236,97,222,363,467,192
20,1033,62,443,460,743,447,208,746,229,250,236,97,222,363,467,192
20,1033,62,471,460,743,447,208,746,229,250,252,97,222,363,467,192
20,1033,62,471,492,743,447,208,746,229,250,252,97,222,363,467,192
20,1033,62,471,492,809,482,208,746,229,250,252,97,238,391,467,192
20,1033,62,471,492,809,482,218,746,229,250,252,97,238,391,499,192
20,1033,62,471,492,809,482,218,807,229,250,252,97,238,391,499,207
20,1075,65,471,492,809,482,218,807,229,253,252,97,238,391,499,207
20,1075,65,506,492,809,482,218,807,229,253,271,97,238,391,499,207
20,1075,65,506,525,809,482,218,807,229,253,271,97,238,391,499,207
20,1075,65,506,525,858,518,218,807,229,253,271,97,247,419,499,207
20,1075,65,506,525,858,518,231,807,229,253,271,97,247,419,535,207
20,1075,65,506,525,858,518,231,868,229,253,271,97,247,419,535,216
20,1125,66,506,525,858,518,231,868,240,257,271,97,247,419,535,216
20,1125,66,540,525,858,518,231,868,240,257,289,97,247,419,535,216
20,1125,66,540,559,858,518,231,868,240,257,289,98,247,419,535,216
20,1125,66,540,559,906,546,231,868,240,257,289,98,257,438,535,216
20,1125,66,540,559,906,546,239,868,240,257,289,98,257,438,565,216
20,1125,66,540,559,906,546,239,928,240,257,289,98,257,438,565,226
20,1166,68,540,559,906,546,239,928,241,261,289,98,257,438,565,226
20,1166,68,570,559,906,546,239,928,241,261,303,98,257,438,565,226
20,1166,68,570,596,906,546,239,928,241,261,303,100,257,438,565,226
20,1166,68,570,596,951,579,239,928,241,261,303,100,271,462,565,226
20,1166,68,570,596,951,579,252,928,241,261,303,100,271,462,599,226
20,1166,68,570,596,951,579,252,995,241,261,303,100,271,462,599,241
20,1212,72,570,596,951,579,252,995,250,266,303,100,271,462,599,241
20,1212,72,598,596,951,579,252,995,250,266,314,100,271,462,599,241
20,1212,72,598,628,951,579,252,995,250,266,314,100,271,462,599,241
20,1212,72,598,628,990,611,252,995,250,266,314,100,281,485,599,241
20,1212,72,598,628,990,611,259,995,250,266,314,100,281,485,627,241
20,1212,72,598,628,990,611,259,1049,250,266,314,100,281,485,627,249
20,1252,70,598,628,990,611,259,1049,257,265,314,100,281,485,627,249
20,1252,70,627,628,990,611,259,1049,257,265,326,100,281,485,627,249
20,1252,70,627,657,990,611,259,1049,257,265,326,98,281,485,627,249
20,1252,70,627,657,1025,632,259,1049,257,265,326,98,290,498,627,249
20,1252,70,627,657,1025,632,268,1049,257,265,326,98,290,498,654,249
20,1252,70,627,657,1025,632,268,1109,257,265,326,98,290,498,654,263
20,1278,70,627,657,1025,632,268,1109,258,268,326,98,290,498,654,263
20,1278,70,657,657,1025,632,268,1109,258,268,340,98,290,498,654,263
20,1278,70,657,684,1025,632,268,1109,258,268,340,97,290,498,654,263
20,1278,70,657,684,1049,656,268,1109,258,268,340,97,295,516,654,263
20,1278,70,657,684,1049,656,274,1109,258,268,340,97,295,516,677,263
20,1278,70,657,684,1049,656,274,1153,258,268,340,97,295,516,677,269
20,1312,74,657,684,1049,656,274,1153,266,274,340,97,295,516,677,269
20,1312,74,677,684,1049,656,274,1153,266,274,346,97,295,516,677,269
20,1312,74,677,715,1049,656,274,1153,266,274,346,101,295,516,677,269
20,1312,74,677,715,1080,677,274,1153,266,274,346,101,306,529,677,269
20,1312,74,677,715,1080,677,277,1153,266,274,346,101,306,529,694,269
20,1312,74,677,715,1080,677,277,1207,266,274,346,101,306,529,694,284
20,1343,75,677,715,1080,677,277,1207,270,278,346,101,306,529,694,284
20,1343,75,700,715,1080,677,277,1207,270,278,355,101,306,529,694,284
20,1343,75,700,733,1080,677,277,1207,270,278,355,96,306,529,694,284
20,1343,75,700,733,1099,697,277,1207,270,278,355,96,310,542,694,284
20,1343,75,700,733,1099,697,282,1207,270,278,355,96,310,542,714,284
20,1343,75,700,733,1099,697,282,1250,270,278,355,96,310,542,714,293
20,1364,77,700,733,1099,697,282,1250,272,282,355,96,310,542,714,293
20,1364,77,720,733,1099,697,282,1250,272,282,364,96,310,542,714,293
20,1364,77,720,759,1099,697,282,1250,272,282,364,99,310,542,714,293
20,1364,77,720,759,1119,710,282,1250,272,282,364,99,316,550,714,293
20,1364,77,720,759,1119,710,291,1250,272,282,364,99,316,550,735,293
20,1364,77,720,759,1119,710,291,1288,272,282,364,99,316,550,735,299
20,1390,79,720,759,1119,710,291,1288,280,287,364,99,316,550,735,299
20,1390,79,739,759,1119,710,291,1288,280,287,371,99,316,550,735,299
20,1390,79,739,779,1119,710,291,1288,280,287,371,101,316,550,735,299
20,1390,79,739,779,1135,727,291,1288,280,287,371,101,319,561,735,299
20,1390,79,739,779,1135,727,295,1288,280,287,371,101,319,561,750,299
20,1390,79,739,779,1135,727,295,1331,280,287,371,101,319,561,750,308
20,1410,81,739,779,1135,727,295,1331,285,291,371,101,319,561,750,308
20,1410,81,754,779,1135,727,295,1331,285,291,375,101,319,561,750,308
20,1410,81,754,793,1135,727,295,1331,285,291,375,98,319,561,750,308
20,1410,81,754,793,1144,743,295,1331,285,291,375,98,322,572,750,308
20,1410,81,754,793,1144,743,292,1331,285,291,375,98,322,572,756,308
20,1410,81,754,793,1144,743,292,1358,285,291,375,98,322,572,756,310
20,1430,80,754,793,1144,743,292,1358,289,291,375,98,322,572,756,310
20,1430,80,770,793,1144,743,292,1358,289,291,381,98,322,572,756,310
20,1430,80,770,809,1144,743,292,1358,289,291,381,99,322,572,756,310
