target,MQ3,MQ135,TGS2600,TGS2602,TGS2603,TGS2609,TGS2610,SYG9,MQ137,MQ138,TGS2611,TGS2612,TGS2618,TGS2619,TGS2620,SY1B
-1,527,30,353,367,413,357,131,349,195,289,157,52,150,237,331,122
0,719,35,476,506,513,485,186,491,275,386,204,88,204,316,433,178
1,590,37,391,404,464,394,144,382,210,297,171,52,166,261,356,131
2,816,43,491,509,554,481,191,523,281,401,227,79,220,348,453,189
3,606,35,390,399,458,391,138,368,207,272,167,55,163,258,348,128
4,652,36,486,493,441,489,181,477,251,382,207,74,205,319,458,167
5,555,36,369,381,454,370,132,358,200,261,158,55,153,247,336,122
6,715,39,447,462,483,431,167,429,253,356,200,66,198,314,397,161
7,648,40,394,411,487,401,140,388,213,272,173,54,164,268,366,132
8,771,43,471,483,538,458,178,477,267,335,208,70,202,328,427,173
9,643,39,398,414,475,397,141,378,205,238,171,56,160,265,366,131
10,731,41,458,471,516,448,168,455,265,368,201,68,198,315,417,166
11,629,37,379,386,456,386,137,363,205,252,166,52,156,259,357,123
12,790,41,481,499,567,462,177,481,274,340,217,67,207,337,429,180
13,651,41,406,420,480,404,146,388,211,257,175,52,162,269,368,136
14,764,41,485,499,558,462,173,478,281,349,218,71,203,332,431,175
15,635,37,401,415,480,404,139,386,206,260,175,53,162,273,362,136
16,767,45,467,492,549,462,172,460,274,354,212,65,201,336,428,169
17,655,40,406,420,484,401,142,395,207,260,177,55,164,270,364,137
18,762,42,480,494,552,457,175,466,265,345,216,68,200,331,421,178
19,711,43,411,433,516,424,153,417,221,269,189,57,175,286,389,151
20,756,45,474,487,545,461,177,464,261,346,214,67,199,328,426,178
