type,MQ3,MQ135,TGS2600,TGS2602,TGS2603,TGS2609,TGS2610,SYG9,MQ137,MQ138,TGS2611,TGS2612,TGS2618,TGS2619,TGS2620,SY1B
115,743,137,454,472,447,420,215,498,298,339,241,198,226,309,440,214
115,734,136,454,472,447,420,215,498,292,337,241,198,226,309,440,214
115,734,136,447,472,447,420,215,498,292,337,237,198,226,309,440,214
115,734,136,447,464,447,420,215,498,292,337,237,193,226,309,440,214
115,734,136,447,464,444,419,215,498,292,337,237,193,226,311,440,214
115,734,136,447,464,444,419,210,498,292,337,237,193,226,311,433,214
115,734,136,447,464,444,419,210,505,292,337,237,193,226,311,433,216
115,788,143,447,464,444,419,210,505,297,338,237,193,226,311,433,216
115,788,143,444,464,444,419,210,505,297,338,237,193,226,311,433,216
115,788,143,444,468,444,419,210,505,297,338,237,196,226,311,433,216
115,788,143,444,468,459,417,210,505,297,338,237,196,227,315,433,216
115,788,143,444,468,459,417,222,505,297,338,237,196,227,315,445,216
115,788,143,444,468,459,417,222,547,297,338,237,196,227,315,445,224
115,866,148,444,468,459,417,222,547,294,339,237,196,227,315,445,224
115,866,148,454,468,459,417,222,547,294,339,252,196,227,315,445,224
115,866,148,454,472,459,417,222,547,294,339,252,195,227,315,445,224
115,866,148,454,472,516,430,222,547,294,339,252,195,242,338,445,224
115,866,148,454,472,516,430,236,547,294,339,252,195,242,338,458,224
115,866,148,454,472,516,430,236,609,294,339,252,195,242,338,458,241
115,943,155,454,472,516,430,236,609,296,346,252,195,242,338,458,241
115,943,155,465,472,516,430,236,609,296,346,269,195,242,338,458,241
115,943,155,465,486,516,430,236,609,296,346,269,195,242,338,458,241
115,943,155,465,486,608,456,236,609,296,346,269,195,263,376,458,241
115,943,155,465,486,608,456,263,609,296,346,269,195,263,376,489,241
115,943,155,465,486,608,456,263,686,296,346,269,195,263,376,489,260
115,1031,156,465,486,608,456,263,686,309,348,269,195,263,376,489,260
115,1031,156,484,486,608,456,263,686,309,348,292,195,263,376,489,260
115,1031,156,484,510,608,456,263,686,309,348,292,195,263,376,489,260
115,1031,156,484,510,718,484,263,686,309,348,292,195,288,414,489,260
115,1031,156,484,510,718,484,285,686,309,348,292,195,288,414,526,260
115,1031,156,484,510,718,484,285,771,309,348,292,195,288,414,526,278
115,1112,158,484,510,718,484,285,771,316,353,292,195,288,414,526,278
115,1112,158,517,510,718,484,285,771,316,353,321,195,288,414,526,278
115,1112,158,517,545,718,484,285,771,316,353,321,196,288,414,526,278
115,1112,158,517,545,829,522,285,771,316,353,321,196,313,455,526,278
115,1112,158,517,545,829,522,307,771,316,353,321,196,313,455,572,278
115,1112,158,517,545,829,522,307,869,316,353,321,196,313,455,572,302
115,1189,163,517,545,829,522,307,869,322,361,321,196,313,455,572,302
115,1189,163,560,545,829,522,307,869,322,361,354,196,313,455,572,302
115,1189,163,560,589,829,522,307,869,322,361,354,196,313,455,572,302
115,1189,163,560,589,935,577,307,869,322,361,354,196,340,505,572,302
115,1189,163,560,589,935,577,327,869,322,361,354,196,340,505,625,302
115,1189,163,560,589,935,577,327,968,322,361,354,196,340,505,625,319
115,1266,165,560,589,935,577,327,968,331,365,354,196,340,505,625,319
115,1266,165,606,589,935,577,327,968,331,365,382,196,340,505,625,319
115,1266,165,606,634,935,577,327,968,331,365,382,193,340,505,625,319
115,1266,165,606,634,1023,624,327,968,331,365,382,193,360,542,625,319
115,1266,165,606,634,1023,624,347,968,331,365,382,193,360,542,680,319
115,1266,165,606,634,1023,624,347,1079,331,365,382,193,360,542,680,347
115,1329,171,606,634,1023,624,347,1079,334,376,382,193,360,542,680,347
115,1329,171,650,634,1023,624,347,1079,334,376,404,193,360,542,680,347
115,1329,171,650,685,1023,624,347,1079,334,376,404,193,360,542,680,347
115,1329,171,650,685,1094,676,347,1079,334,376,404,193,376,583,680,347
115,1329,171,650,685,1094,676,361,1079,334,376,404,193,376,583,730,347
115,1329,171,650,685,1094,676,361,1180,334,376,404,193,376,583,730,367
115,1387,168,650,685,1094,676,361,1180,342,376,404,193,376,583,730,367
115,1387,168,694,685,1094,676,361,1180,342,376,426,193,376,583,730,367
115,1387,168,694,736,1094,676,361,1180,342,376,426,194,376,583,730,367
115,1387,168,694,736,1157,717,361,1180,342,376,426,194,392,612,730,367
